"series","timestamp","value","label"
"Set","2017-06-20T00:00:00Z",865,""
"Rise","2017-06-20T00:00:00Z",430,""
"Set","2017-06-21T00:00:00Z",875,""
"Rise","2017-06-21T00:00:00Z",450,""
"Set","2017-06-22T00:00:00Z",865,""
"Rise","2017-06-22T00:00:00Z",440,""
"Set","2017-06-23T00:00:00Z",910,""
"Rise","2017-06-23T00:00:00Z",435,""
"Set","2017-06-24T00:00:00Z",850,""
"Rise","2017-06-24T00:00:00Z",455,""
"Set","2017-06-25T00:00:00Z",885,""
"Rise","2017-06-25T00:00:00Z",440,""
"Set","2017-06-26T00:00:00Z",860,""
"Rise","2017-06-26T00:00:00Z",445,""
"Set","2017-06-27T00:00:00Z",870,""
"Rise","2017-06-27T00:00:00Z",435,""
"Set","2017-06-28T00:00:00Z",860,""
"Rise","2017-06-28T00:00:00Z",435,""
"Set","2017-06-29T00:00:00Z",870,""
"Rise","2017-06-29T00:00:00Z",450,""
"Set","2017-06-30T00:00:00Z",865,""
"Rise","2017-06-30T00:00:00Z",430,""
"Set","2017-07-01T00:00:00Z",875,""
"Rise","2017-07-01T00:00:00Z",445,""
"Set","2017-07-02T00:00:00Z",875,""
"Rise","2017-07-02T00:00:00Z",420,""
"Set","2017-07-03T00:00:00Z",875,""
"Rise","2017-07-03T00:00:00Z",450,""
"Set","2017-07-04T00:00:00Z",885,""
"Rise","2017-07-04T00:00:00Z",420,""
"Set","2017-07-05T00:00:00Z",870,""
"Rise","2017-07-05T00:00:00Z",430,""
"Set","2017-07-06T00:00:00Z",880,""
"Rise","2017-07-06T00:00:00Z",425,""
"Set","2017-07-07T00:00:00Z",865,""
"Rise","2017-07-07T00:00:00Z",430,""
"Set","2017-07-08T00:00:00Z",875,""
"Rise","2017-07-08T00:00:00Z",435,""
"Set","2017-07-09T00:00:00Z",885,""
"Rise","2017-07-09T00:00:00Z",430,""
"Set","2017-07-10T00:00:00Z",890,""
"Rise","2017-07-10T00:00:00Z",415,""
"Set","2017-07-11T00:00:00Z",930,""
"Rise","2017-07-11T00:00:00Z",420,""
"Set","2017-07-12T00:00:00Z",890,""
"Rise","2017-07-12T00:00:00Z",410,""
"Set","2017-07-13T00:00:00Z",900,""
"Rise","2017-07-13T00:00:00Z",425,""
"Set","2017-07-14T00:00:00Z",885,""
"Rise","2017-07-14T00:00:00Z",420,""
"Set","2017-07-15T00:00:00Z",885,""
"Rise","2017-07-15T00:00:00Z",420,""
"Set","2017-07-16T00:00:00Z",890,""
"Rise","2017-07-16T00:00:00Z",415,""
"Set","2017-07-17T00:00:00Z",870,""
"Rise","2017-07-17T00:00:00Z",415,""
"Set","2017-07-18T00:00:00Z",880,""
"Rise","2017-07-18T00:00:00Z",420,""
"Set","2017-07-19T00:00:00Z",890,""
"Rise","2017-07-19T00:00:00Z",420,""
"Set","2017-07-20T00:00:00Z",890,""
"Rise","2017-07-20T00:00:00Z",405,""
"Set","2017-07-21T00:00:00Z",905,""
"Rise","2017-07-21T00:00:00Z",415,""
"Set","2017-07-22T00:00:00Z",890,""
"Rise","2017-07-22T00:00:00Z",405,""
"Set","2017-07-23T00:00:00Z",890,""
"Rise","2017-07-23T00:00:00Z",410,""
"Set","2017-07-24T00:00:00Z",900,""
"Rise","2017-07-24T00:00:00Z",405,""
"Set","2017-07-25T00:00:00Z",925,""
"Rise","2017-07-25T00:00:00Z",425,""
"Set","2017-07-26T00:00:00Z",930,""
"Rise","2017-07-26T00:00:00Z",400,""
"Set","2017-07-27T00:00:00Z",905,""
"Rise","2017-07-27T00:00:00Z",385,""
"Set","2017-07-28T00:00:00Z",920,""
"Rise","2017-07-28T00:00:00Z",400,""
"Set","2017-07-29T00:00:00Z",900,""
"Rise","2017-07-29T00:00:00Z",410,""
"Set","2017-07-30T00:00:00Z",905,""
"Rise","2017-07-30T00:00:00Z",400,""
"Set","2017-07-31T00:00:00Z",910,""
"Rise","2017-07-31T00:00:00Z",405,""
"Set","2017-08-01T00:00:00Z",910,""
"Rise","2017-08-01T00:00:00Z",400,""
"Set","2017-08-02T00:00:00Z",905,""
"Rise","2017-08-02T00:00:00Z",395,""
"Set","2017-08-03T00:00:00Z",910,""
"Rise","2017-08-03T00:00:00Z",390,""
