tag_id,type,stap_s,stap_t,lat_s,lon_s,lat_t,lon_t,j,start,end,n,distance,bearing,gs_u,gs_v,ws_u,ws_v
18LX,most_likely,1,2,48.9,17.05,47.625,16.375,1,2017-08-04T19:47:30Z,2017-08-04T23:17:30Z,1,150.48767226637338,199.6669048637367,-16.078260432911833,-39.67819444279447,13.752559506007604,-13.606711077008926
18LX,most_likely,2,3,47.625,16.375,44.875,14.375,1,2017-08-05T19:27:30Z,2017-08-06T02:52:30Z,1,342.6324663269481,207.42582336568012,-21.278625503858418,-41.005385747122325,-5.454383674878753,-4.648818214673675
18LX,most_likely,3,4,44.875,14.375,41.625,15.125,1,2017-08-06T19:12:30Z,2017-08-07T03:17:30Z,1,366.85853582503216,170.20015549904656,7.724762045278971,-44.722325974598604,-7.811576271765011,-20.63033645881574
18LX,most_likely,4,5,41.625,15.125,41.375,13.125,1,2017-08-07T19:12:30Z,2017-08-08T00:12:30Z,1,169.04907396149795,261.18833485667517,-33.410764776493664,-5.179225167861538,-2.4429088821411136,-0.770149703979492
18LX,most_likely,5,6,41.375,13.125,37.125,9.625,1,2017-08-29T18:37:30Z,2017-08-30T04:32:30Z,1,561.0060208403663,213.64932684319524,-31.347041278147046,-47.09308046884177,-3.926401982924518,-8.811461585806198
18LX,most_likely,6,7,37.125,9.625,34.125,8.125,1,2017-08-30T18:42:30Z,2017-08-31T04:12:30Z,1,360.471137266816,202.55842190437045,-14.556403980851057,-35.04116579686133,-12.246389297083804,2.5966668805574127
18LX,most_likely,7,8,34.125,8.125,27.625,3.625,1,2017-08-31T18:32:30Z,2017-09-01T09:02:30Z,1,841.4174825132842,211.90214430049707,-30.666481875079054,-49.26365372650593,-7.686616921260441,-5.097443378843112
18LX,most_likely,8,9,27.625,3.625,20.625,3.125,1,2017-09-01T18:57:30Z,2017-09-02T09:02:30Z,1,780.8871444103244,183.83452903475563,-3.7080703514742677,-55.3234799580859,-8.311751128337791,-15.075200772437821
18LX,most_likely,9,10,20.625,3.125,17.625,0.875,1,2017-09-04T20:02:30Z,2017-09-05T04:37:30Z,1,409.2806990742015,215.69687347123022,-27.822992355843166,-38.72424998958346,-20.053314304388834,-0.8890022695596939
18LX,most_likely,10,11,17.625,0.875,13.625,-0.625,1,2017-09-06T19:37:30Z,2017-09-07T04:37:30Z,1,473.41184472857947,200.06367854416612,-18.045634022245217,-49.409043161991505,-18.432947360992433,-9.95073659515381
18LX,most_likely,11,12,13.625,-0.625,12.375,-1.375,1,2017-09-09T19:57:30Z,2017-09-10T01:17:30Z,1,161.18319877996896,210.3967117380157,-15.291780375967193,-26.06763618989717,-5.093446116685867,1.944600822687149
18LX,most_likely,12,13,12.375,-1.375,10.375,-1.375,1,2017-09-10T19:32:30Z,2017-09-11T03:12:30Z,1,222.6389815865471,180,-5.334537055409831e-15,-29.039867163462663,4.878027240421461,6.6376258646094275
18LX,most_likely,13,14,10.375,-1.375,10.375,-1.625,1,2017-09-11T23:27:30Z,2017-09-12T00:22:30Z,1,27.374857569492928,270.0225112800649,-29.86347867992995,0.011733240608354276,-4.097879308527165,8.988109393033115
18LX,most_likely,14,15,10.375,-1.625,9.125,-3.125,1,2017-09-15T20:52:30Z,2017-09-16T04:32:30Z,1,215.50814393057834,229.91313216982576,-21.50590475508311,-18.101230623527677,-0.9191029964944588,-1.4914118037016495
18LX,most_likely,15,16,9.125,-3.125,9.375,-1.875,1,2017-09-16T20:47:30Z,2017-09-17T01:57:30Z,1,140.1310199435056,78.44495713914387,26.57244113501804,5.432813704989038,-2.8855979808684324,14.215052957596319
18LX,most_likely,16,17,9.375,-1.875,10.375,-1.625,1,2017-09-18T19:52:30Z,2017-09-18T23:42:30Z,1,114.64610918439347,13.81508532684478,7.141629281057838,29.042494615321257,2.236555297851562,0.9309779523766558
18LX,most_likely,17,18,10.375,-1.625,10.875,-1.375,1,2017-09-19T23:32:30Z,2017-09-20T01:07:30Z,1,62.0175279096471,26.147830909262552,17.261320109289343,35.16041306510155,3.6533126533909854,10.235661151283665
18LX,most_likely,18,19,10.875,-1.375,9.625,-5.625,1,2017-12-05T18:52:30Z,2017-12-06T05:37:30Z,1,485.89465487968755,253.74508356495062,-43.3926905913564,-12.651855783139652,-14.61063603707247,-11.018681264478106
18LX,most_likely,19,20,9.625,-5.625,7.875,-6.625,1,2017-12-06T19:12:30Z,2017-12-07T00:12:30Z,1,223.7293731258347,209.53445476616412,-22.057338334560097,-38.931569729024595,-5.201911170196533,-6.006768099212646
18LX,most_likely,20,21,7.875,-6.625,8.875,-5.375,1,2018-04-10T19:42:30Z,2018-04-11T00:02:30Z,1,177.04034241243608,50.95062092045373,31.728488178388183,25.738530389932677,-0.22764568475576558,19.476780663123495
18LX,most_likely,21,22,8.875,-5.375,13.375,-4.875,1,2018-04-11T19:07:30Z,2018-04-12T05:52:30Z,1,503.90430148605276,6.175344815721758,5.042396837814232,46.602820368607134,2.2862629852294925,15.554138881594637
18LX,most_likely,22,23,13.375,-4.875,16.125,-4.625,1,2018-04-12T19:07:30Z,2018-04-13T05:42:30Z,1,307.30904386081716,4.992795592829111,2.527110573467313,28.926898162664866,12.531576308242922,-2.0533268326886995
18LX,most_likely,23,24,16.125,-4.625,19.125,1.875,1,2018-04-13T19:12:30Z,2018-04-14T05:37:30Z,1,766.096081338248,63.20177889886634,65.64645329108126,33.15785148860065,44.06419049597167,7.77803587023926
