tag_id,type,stap_id,lat,lon,j
18LX,simulation,1,48.9,17.05,1
18LX,simulation,1,48.9,17.05,2
18LX,simulation,1,48.9,17.05,3
18LX,simulation,1,48.9,17.05,4
18LX,simulation,1,48.9,17.05,5
18LX,simulation,1,48.9,17.05,6
18LX,simulation,1,48.9,17.05,7
18LX,simulation,1,48.9,17.05,8
18LX,simulation,1,48.9,17.05,9
18LX,simulation,1,48.9,17.05,10
18LX,simulation,2,47.625,16.625,1
18LX,simulation,2,47.875,18.125,2
18LX,simulation,2,47.375,16.625,3
18LX,simulation,2,48.375,16.875,4
18LX,simulation,2,47.875,17.625,5
18LX,simulation,2,48.625,17.875,6
18LX,simulation,2,47.625,17.375,7
18LX,simulation,2,47.875,17.125,8
18LX,simulation,2,45.875,18.375,9
18LX,simulation,2,46.875,17.125,10
18LX,simulation,3,45.875,15.625,1
18LX,simulation,3,45.625,17.625,2
18LX,simulation,3,46.625,17.125,3
18LX,simulation,3,46.125,15.625,4
18LX,simulation,3,45.375,15.875,5
18LX,simulation,3,45.875,16.625,6
18LX,simulation,3,43.625,17.625,7
18LX,simulation,3,45.875,12.375,8
18LX,simulation,3,46.875,18.875,9
18LX,simulation,3,45.625,12.375,10
18LX,simulation,4,40.625,16.375,1
18LX,simulation,4,41.625,15.625,2
18LX,simulation,4,41.875,14.125,3
18LX,simulation,4,42.125,14.375,4
18LX,simulation,4,40.875,15.625,5
18LX,simulation,4,41.875,15.125,6
18LX,simulation,4,40.375,15.625,7
18LX,simulation,4,41.875,14.125,8
18LX,simulation,4,44.625,16.125,9
18LX,simulation,4,41.125,15.625,10
18LX,simulation,5,41.625,13.125,1
18LX,simulation,5,41.875,13.125,2
18LX,simulation,5,42.125,12.375,3
18LX,simulation,5,41.625,13.875,4
18LX,simulation,5,41.375,13.625,5
18LX,simulation,5,41.625,12.875,6
18LX,simulation,5,41.625,12.875,7
18LX,simulation,5,41.625,13.125,8
18LX,simulation,5,42.125,12.125,9
18LX,simulation,5,42.375,12.375,10
18LX,simulation,6,41.625,8.875,1
18LX,simulation,6,36.375,10.375,2
18LX,simulation,6,36.375,10.375,3
18LX,simulation,6,39.375,9.125,4
18LX,simulation,6,39.875,9.625,5
18LX,simulation,6,40.125,9.375,6
18LX,simulation,6,40.875,9.375,7
18LX,simulation,6,39.375,9.625,8
18LX,simulation,6,39.625,9.375,9
18LX,simulation,6,37.125,9.875,10
18LX,simulation,7,36.625,9.375,1
18LX,simulation,7,33.875,8.375,2
18LX,simulation,7,33.875,7.125,3
18LX,simulation,7,37.125,9.625,4
18LX,simulation,7,34.375,6.875,5
18LX,simulation,7,33.625,9.875,6
18LX,simulation,7,34.875,6.125,7
18LX,simulation,7,35.625,10.375,8
18LX,simulation,7,36.625,7.875,9
18LX,simulation,7,33.375,9.125,10
18LX,simulation,8,26.375,3.375,1
18LX,simulation,8,25.875,4.125,2
18LX,simulation,8,27.875,3.625,3
18LX,simulation,8,23.875,2.625,4
18LX,simulation,8,26.125,5.625,5
