tag_id,stap_id,start,end,known_lat,known_lon
18LX,1,2017-06-20T00:00:00Z,2017-08-04T19:47:30Z,48.9,17.05
18LX,2,2017-08-04T23:17:30Z,2017-08-05T19:27:30Z,,
18LX,3,2017-08-06T02:52:30Z,2017-08-06T19:12:30Z,,
18LX,4,2017-08-07T03:17:30Z,2017-08-07T19:12:30Z,,
18LX,5,2017-08-08T00:12:30Z,2017-08-29T18:37:30Z,,
18LX,6,2017-08-30T04:32:30Z,2017-08-30T18:42:30Z,,
18LX,7,2017-08-31T04:12:30Z,2017-08-31T18:32:30Z,,
18LX,8,2017-09-01T09:02:30Z,2017-09-01T18:57:30Z,,
18LX,9,2017-09-02T09:02:30Z,2017-09-04T20:02:30Z,,
18LX,10,2017-09-05T04:37:30Z,2017-09-06T19:37:30Z,,
18LX,11,2017-09-07T04:37:30Z,2017-09-09T19:57:30Z,,
18LX,12,2017-09-10T01:17:30Z,2017-09-10T19:32:30Z,,
18LX,13,2017-09-11T03:12:30Z,2017-09-11T23:27:30Z,,
18LX,14,2017-09-12T00:22:30Z,2017-09-15T20:52:30Z,,
18LX,15,2017-09-16T04:32:30Z,2017-09-16T20:47:30Z,,
18LX,16,2017-09-17T01:57:30Z,2017-09-18T19:52:30Z,,
18LX,17,2017-09-18T23:42:30Z,2017-09-19T23:32:30Z,,
18LX,18,2017-09-20T01:07:30Z,2017-12-05T18:52:30Z,,
18LX,19,2017-12-06T05:37:30Z,2017-12-06T19:12:30Z,,
18LX,20,2017-12-07T00:12:30Z,2018-04-10T19:42:30Z,,
18LX,21,2018-04-11T00:02:30Z,2018-04-11T19:07:30Z,,
18LX,22,2018-04-12T05:52:30Z,2018-04-12T19:07:30Z,,
18LX,23,2018-04-13T05:42:30Z,2018-04-13T19:12:30Z,,
18LX,24,2018-04-14T05:37:30Z,2018-04-14T18:32:30Z,,
18LX,25,2018-04-15T15:02:30Z,2018-04-15T18:47:30Z,,
18LX,26,2018-04-15T22:02:30Z,2018-04-25T18:42:30Z,,
18LX,27,2018-04-26T02:42:30Z,2018-04-29T21:17:30Z,,
18LX,28,2018-04-30T03:07:30Z,2018-04-30T18:37:30Z,,
18LX,29,2018-05-01T01:12:30Z,2018-05-01T23:57:30Z,,
CB619,1,2021-07-01T02:30:10Z,2021-09-24T00:15:10Z,37.286812,-82.304972
CB619,2,2021-09-24T11:15:10Z,2021-09-24T23:45:10Z,,
CB619,3,2021-09-25T10:45:10Z,2021-09-25T23:45:10Z,,
CB619,4,2021-09-26T12:45:10Z,2021-09-27T04:15:10Z,,
CB619,5,2021-09-27T08:15:10Z,2022-04-06T00:45:10Z,,
CB619,6,2022-04-06T10:15:10Z,2022-04-07T00:15:10Z,,
CB619,7,2022-04-07T04:45:10Z,2022-04-14T00:45:10Z,,
CB619,8,2022-04-14T10:45:10Z,2022-04-15T01:15:10Z,,
CB619,9,2022-04-15T05:15:10Z,2022-06-11T22:45:10Z,,
